nftId,fileName,cardId,name,bitcoinText,sticker,fortune,power,rarity
46,0046.webp,79,Sylvester Ellsworth,Bitcoin: create your fate!,Coin,5B in Bitcoin,7,Common
47,0047.webp,59,Leopold Sterling,Bitcoin: invisible magic!,Palm,1B in Bitcoin,5,Uncommon
48,0048.webp,106,Alistair Fairchild,Bitcoin: beacon of hope!,Rocket,2B in Bitcoin,9,Common
49,0049.webp,19,Gregory Westbrook,Bitcoin: fair and magical!,Hibisc,1B in Bitcoin,4,Rare
50,0050.webp,90,Clarence Kingsley,Bitcoin: fair and fun!,Orange,1B in Bitcoin,5,Common
51,0051.webp,21,Quentin Ashcroft,Bitcoin: code is king!,Flying Saucer,2B in Bitcoin,5,Uncommon
52,0052.webp,100,Horatio Montclair,Bitcoin: master destiny!,Coin,5B in Bitcoin,8,Uncommon
53,0053.webp,68,Alistair Ashford,Bitcoin: beat big spells!,Hibisc,2B in Bitcoin,8,Common
54,0054.webp,53,Phineas Thornfield,Bitcoin: no censorship!,Sushi,50B in Bitcoin,10,Common
55,0055.webp,80,Ignatius Montrose,Bitcoin: free from giants!,Palm,10B in Bitcoin,5,Common
56,0056.webp,44,Barnabas Montclair,Bitcoin: escape money wizards!,Coin,50B in Bitcoin,3,Common
57,0057.webp,50,Gideon Fairchild,Bitcoin: free from giants!,Rocket,5B in Bitcoin,2,Uncommon
58,0058.webp,62,Horatio Kingsley,Bitcoin: spell for freedom!,Orange,10B in Bitcoin,6,Uncommon
59,0059.webp,69,Gideon Fairfax,Bitcoin: no illusions!,Orange,10B in Bitcoin,3,Rare
60,0060.webp,39,Cornelius Blackwood,Bitcoin: tech is fair!,Sushi,2B in Bitcoin,2,Super Rare
61,0061.webp,78,Leopold Fairchild,Bitcoin: innovation rules!,Rocket,1B in Bitcoin,9,Super Rare
62,0062.webp,9,Felix Harrington,Bitcoin: click to change!,Coin,1B in Bitcoin,9,Uncommon
63,0063.webp,70,Maximilian Langley,Bitcoin: master destiny!,Flying Saucer,1B in Bitcoin,8,Rare
64,0064.webp,104,Reginald Kingsley,Bitcoin: escape wizards!,Orange,1B in Bitcoin,7,Common
65,0065.webp,70,Maximilian Langley,Bitcoin: master destiny!,Flying Saucer,5B in Bitcoin,6,Uncommon
66,0066.webp,100,Horatio Montclair,Bitcoin: master destiny!,Coin,1B in Bitcoin,9,Ultra Rare
67,0067.webp,91,Phineas Ravensdale,Bitcoin: superpower!,Flying Saucer,5B in Bitcoin,4,Uncommon
68,0068.webp,17,Marcus Fairfax,Bitcoin: magic answer!,Palm,1B in Bitcoin,1,Uncommon
69,0069.webp,77,Cornelius Ravensdale,Bitcoin: global bridge!,Flying Saucer,1B in Bitcoin,9,Common
70,0070.webp,99,Ignatius Westbrook,Bitcoin: no illusions!,Rocket,1B in Bitcoin,2,Uncommon
71,0071.webp,44,Barnabas Montclair,Bitcoin: escape money wizards!,Coin,1B in Bitcoin,3,Uncommon
72,0072.webp,89,Maximilian Pembroke,Bitcoin: invisible magic!,Hibisc,2B in Bitcoin,6,Common
73,0073.webp,53,Phineas Thornfield,Bitcoin: no censorship!,Sushi,5B in Bitcoin,10,Uncommon
74,0074.webp,36,Archibald Pembroke,Bitcoin: control your money!,Rocket,1B in Bitcoin,3,Rare
75,0075.webp,36,Archibald Pembroke,Bitcoin: control your money!,Rocket,50B in Bitcoin,2,Super Rare
76,0076.webp,31,Maximilian Fairchild,Bitcoin: instant revolution!,Palm,5B in Bitcoin,2,Uncommon
77,0077.webp,101,Barnabas Sterling,Bitcoin: invisible spell!,Palm,2B in Bitcoin,3,Common
78,0078.webp,46,Humphrey Beckett,Bitcoin: light in the dark!,Sushi,1B in Bitcoin,8,Ultra Rare
79,0079.webp,35,Rupert Ashford,Bitcoin: decentralized magic!,Flying Saucer,5B in Bitcoin,6,Common
80,0080.webp,56,Mortimer Langley,Bitcoin: beat the system!,Flying Saucer,10B in Bitcoin,10,Rare
81,0081.webp,82,Barnabas Ashford,Bitcoin: silent revolution!,Hibisc,10B in Bitcoin,9,Super Rare
82,0082.webp,10,Simon Redwood,Bitcoin: freedom now!,Palm,1B in Bitcoin,7,Rare
83,0083.webp,82,Barnabas Ashford,Bitcoin: silent revolution!,Hibisc,5B in Bitcoin,5,Uncommon
84,0084.webp,109,Clarence Thornfield II,Bitcoin: create your fate!,Sushi,1B in Bitcoin,9,Uncommon
85,0085.webp,18,Cedric Langley,Bitcoin: invisible spell!,Sushi,1B in Bitcoin,9,Uncommon
86,0086.webp,9,Felix Harrington,Bitcoin: click to change!,Coin,10B in Bitcoin,8,Common
87,0087.webp,68,Alistair Ashford,Bitcoin: beat big spells!,Hibisc,10B in Bitcoin,9,Uncommon
88,0088.webp,86,Bartholomew Montclair,Bitcoin: beat the system!,Coin,10B in Bitcoin,5,Uncommon
89,0089.webp,56,Mortimer Langley,Bitcoin: beat the system!,Flying Saucer,1B in Bitcoin,6,Common
90,0090.webp,9,Felix Harrington,Bitcoin: click to change!,Coin,1B in Bitcoin,9,Ultra Rare
91,0091.webp,42,Ignatius Langley,Bitcoin: sip independence!,Flying Saucer,2B in Bitcoin,3,Common
92,0092.webp,13,Nathan Ellington,Bitcoin: tech hero!,Orange,5B in Bitcoin,10,Common
93,0093.webp,45,Wilfred Sterling,Bitcoin: golden key!,Palm,5B in Bitcoin,10,Legendary
94,0094.webp,34,Clarence Thornfield,Bitcoin: fair digital world!,Orange,1B in Bitcoin,3,Common
95,0095.webp,25,Archibald Winslow,Bitcoin: no old tricks!,Sushi,5B in Bitcoin,8,Uncommon
96,0096.webp,43,Horatio Westbrook,Bitcoin: creativity explosion!,Rocket,5B in Bitcoin,1,Common
97,0097.webp,8,Ethan Caldwell,Bitcoin is digital gold!,Rocket,10B in Bitcoin,1,Rare
98,0098.webp,58,Cornelius Montclair,Bitcoin: master your fate!,Coin,100B in Bitcoin,9,Legendary
99,0099.webp,2,Bruno Driscoll,Bitcoin: magic money!,Coin,1B in Bitcoin,5,Super Rare
100,0100.webp,31,Maximilian Fairchild,Bitcoin: instant revolution!,Palm,10B in Bitcoin,2,Rare
101,0101.webp,76,Thaddeus Kingsley,Bitcoin: beacon of hope!,Orange,1B in Bitcoin,9,Common
102,0102.webp,72,Phineas Montclair,Bitcoin: fair magic!,Coin,10B in Bitcoin,6,Rare
103,0103.webp,57,Thaddeus Westbrook,Bitcoin: no tricks!,Rocket,5B in Bitcoin,6,Common
104,0104.webp,88,Gideon Beckett,Bitcoin: master your fate!,Sushi,5B in Bitcoin,3,Common
105,0105.webp,11,Victor Ashford,Bitcoin unlocks treasure!,Sushi,5B in Bitcoin,2,Common
106,0106.webp,67,Bartholomew Thornfield,Bitcoin: magic tech!,Sushi,1B in Bitcoin,2,Common
107,0107.webp,29,Alistair Blackwood,Bitcoin: freedom in every click!,Rocket,50B in Bitcoin,10,Common
108,0108.webp,21,Quentin Ashcroft,Bitcoin: code is king!,Flying Saucer,5B in Bitcoin,9,Rare
109,0109.webp,28,Barnaby Kingsley,Bitcoin: magic potion!,Flying Saucer,1B in Bitcoin,8,Common
110,0110.webp,12,Wesley Carrington,Bitcoin never sleeps!,Hibisc,1B in Bitcoin,8,Rare
111,0111.webp,90,Clarence Kingsley,Bitcoin: fair and fun!,Orange,1B in Bitcoin,6,Uncommon
112,0112.webp,14,Oliver Montclair,Bitcoin: digital wizards!,Flying Saucer,5B in Bitcoin,8,Rare
113,0113.webp,32,Bartholomew Ellsworth,Bitcoin: no middlemen!,Sushi,5B in Bitcoin,1,Uncommon
114,0114.webp,79,Sylvester Ellsworth,Bitcoin: create your fate!,Coin,5B in Bitcoin,10,Uncommon
115,0115.webp,96,Cornelius Ashford,Bitcoin: future surprises!,Hibisc,10B in Bitcoin,8,Uncommon
116,0116.webp,108,Maximilian Montrose,Bitcoin: innovation rules!,Palm,10B in Bitcoin,1,Uncommon
117,0117.webp,101,Barnabas Sterling,Bitcoin: invisible spell!,Palm,10B in Bitcoin,3,Super Rare
118,0118.webp,39,Cornelius Blackwood,Bitcoin: tech is fair!,Sushi,1B in Bitcoin,10,Common
119,0119.webp,44,Barnabas Montclair,Bitcoin: escape money wizards!,Coin,5B in Bitcoin,2,Common
120,0120.webp,56,Mortimer Langley,Bitcoin: beat the system!,Flying Saucer,10B in Bitcoin,5,Uncommon
121,0121.webp,17,Marcus Fairfax,Bitcoin: magic answer!,Palm,1B in Bitcoin,9,Uncommon
122,0122.webp,5,Ivan Blackwell,Bitcoin beats inflation!,Hibisc,10B in Bitcoin,5,Rare
123,0123.webp,74,Archibald Beckett,Bitcoin: escape wizards!,Sushi,10B in Bitcoin,5,Uncommon
124,0124.webp,51,Maximilian Ellsworth,Bitcoin: exit the matrix!,Coin,50B in Bitcoin,7,Uncommon
125,0125.webp,53,Phineas Thornfield,Bitcoin: no censorship!,Sushi,1B in Bitcoin,10,Common
126,0126.webp,102,Wilfred Beckett,Bitcoin: fair magic!,Sushi,5B in Bitcoin,3,Super Rare
127,0127.webp,17,Marcus Fairfax,Bitcoin: magic answer!,Palm,1B in Bitcoin,1,Rare
128,0128.webp,28,Barnaby Kingsley,Bitcoin: magic potion!,Flying Saucer,2B in Bitcoin,8,Common
129,0129.webp,95,Thaddeus Thornfield,Bitcoin: every trade is an adventure!,Sushi,10B in Bitcoin,2,Super Rare
130,0130.webp,28,Barnaby Kingsley,Bitcoin: magic potion!,Flying Saucer,1B in Bitcoin,7,Rare
131,0131.webp,37,Mortimer Kingsley,Bitcoin: just getting started!,Coin,50B in Bitcoin,3,Common
132,0132.webp,82,Barnabas Ashford,Bitcoin: silent revolution!,Hibisc,1B in Bitcoin,7,Common
133,0133.webp,65,Humphrey Ellsworth,Bitcoin: fly with money!,Coin,50B in Bitcoin,8,Common
134,0134.webp,23,Tobias Sinclair,Bitcoin: magical money!,Coin,5B in Bitcoin,5,Uncommon
135,0135.webp,90,Clarence Kingsley,Bitcoin: fair and fun!,Orange,5B in Bitcoin,8,Uncommon
136,0136.webp,47,Reginald Pembroke II,Bitcoin: global bridge!,Hibisc,10B in Bitcoin,3,Common
137,0137.webp,48,Bartholomew Kingsley,Bitcoin: innovation force!,Orange,1B in Bitcoin,4,Rare
138,0138.webp,45,Wilfred Sterling,Bitcoin: golden key!,Palm,100B in Bitcoin,6,Uncommon
139,0139.webp,39,Cornelius Blackwood,Bitcoin: tech is fair!,Sushi,5B in Bitcoin,9,Legendary
140,0140.webp,80,Ignatius Montrose,Bitcoin: free from giants!,Palm,5B in Bitcoin,8,Uncommon
141,0141.webp,18,Cedric Langley,Bitcoin: invisible spell!,Sushi,1B in Bitcoin,7,Common
142,0142.webp,9,Felix Harrington,Bitcoin: click to change!,Coin,1B in Bitcoin,2,Uncommon
143,0143.webp,12,Wesley Carrington,Bitcoin never sleeps!,Hibisc,2B in Bitcoin,10,Rare
144,0144.webp,78,Leopold Fairchild,Bitcoin: innovation rules!,Rocket,5B in Bitcoin,9,Super Rare
145,0145.webp,84,Humphrey Langley,Bitcoin: magic future!,Flying Saucer,2B in Bitcoin,9,Ultra Rare
146,0146.webp,9,Felix Harrington,Bitcoin: click to change!,Coin,10B in Bitcoin,10,Uncommon
147,0147.webp,26,Percival Hargrove,Bitcoin: change like magic!,Hibisc,1B in Bitcoin,6,Uncommon
148,0148.webp,110,Phineas Ashford,Bitcoin: free from giants!,Hibisc,10B in Bitcoin,2,Rare
149,0149.webp,86,Bartholomew Montclair,Bitcoin: beat the system!,Coin,2B in Bitcoin,6,Common
150,0150.webp,75,Mortimer Pembroke,Bitcoin: golden adventures!,Hibisc,5B in Bitcoin,1,Ultra Rare
151,0151.webp,5,Ivan Blackwell,Bitcoin beats inflation!,Hibisc,5B in Bitcoin,2,Uncommon
152,0152.webp,96,Cornelius Ashford,Bitcoin: future surprises!,Hibisc,1B in Bitcoin,5,Uncommon
153,0153.webp,59,Leopold Sterling,Bitcoin: invisible magic!,Palm,1B in Bitcoin,7,Super Rare
154,0154.webp,4,Theo Underwood,Bitcoin breaks all chains!,Sushi,1B in Bitcoin,7,Common
155,0155.webp,50,Gideon Fairchild,Bitcoin: free from giants!,Rocket,1B in Bitcoin,4,Common
156,0156.webp,96,Cornelius Ashford,Bitcoin: future surprises!,Hibisc,50B in Bitcoin,4,Uncommon
157,0157.webp,81,Horatio Thornfield,Bitcoin: exit the matrix!,Sushi,1B in Bitcoin,2,Uncommon
158,0158.webp,43,Horatio Westbrook,Bitcoin: creativity explosion!,Rocket,1B in Bitcoin,1,Uncommon
159,0159.webp,78,Leopold Fairchild,Bitcoin: innovation rules!,Rocket,1B in Bitcoin,8,Uncommon
160,0160.webp,61,Ignatius Pembroke,Bitcoin: flame of change!,Hibisc,1B in Bitcoin,2,Super Rare
161,0161.webp,87,Alistair Sterling,Bitcoin: no tricks!,Palm,5B in Bitcoin,2,Common
162,0162.webp,67,Bartholomew Thornfield,Bitcoin: magic tech!,Sushi,10B in Bitcoin,4,Common
163,0163.webp,62,Horatio Kingsley,Bitcoin: spell for freedom!,Orange,5B in Bitcoin,9,Rare
164,0164.webp,68,Alistair Ashford,Bitcoin: beat big spells!,Hibisc,1B in Bitcoin,10,Rare
165,0165.webp,93,Archibald Ellsworth,Bitcoin: magic money!,Coin,2B in Bitcoin,9,Rare
166,0166.webp,21,Quentin Ashcroft,Bitcoin: code is king!,Flying Saucer,5B in Bitcoin,5,Common
167,0167.webp,67,Bartholomew Thornfield,Bitcoin: magic tech!,Sushi,100B in Bitcoin,2,Super Rare
168,0168.webp,20,Julian Ravenscroft,Bitcoin: art of freedom!,Orange,1B in Bitcoin,9,Super Rare
169,0169.webp,91,Phineas Ravensdale,Bitcoin: superpower!,Flying Saucer,5B in Bitcoin,4,Uncommon
170,0170.webp,96,Cornelius Ashford,Bitcoin: future surprises!,Hibisc,50B in Bitcoin,5,Common
171,0171.webp,94,Mortimer Montrose,Bitcoin: global show!,Palm,1B in Bitcoin,8,Common
172,0172.webp,36,Archibald Pembroke,Bitcoin: control your money!,Rocket,1B in Bitcoin,2,Uncommon
173,0173.webp,61,Ignatius Pembroke,Bitcoin: flame of change!,Hibisc,5B in Bitcoin,3,Common
174,0174.webp,36,Archibald Pembroke,Bitcoin: control your money!,Rocket,1B in Bitcoin,4,Ultra Rare
175,0175.webp,64,Wilfred Fairchild,Bitcoin: global magic trick!,Rocket,5B in Bitcoin,7,Uncommon
176,0176.webp,106,Alistair Fairchild,Bitcoin: beacon of hope!,Rocket,1B in Bitcoin,7,Super Rare
177,0177.webp,46,Humphrey Beckett,Bitcoin: light in the dark!,Sushi,1B in Bitcoin,1,Common
178,0178.webp,97,Leopold Fairfax,Bitcoin: tech is magic!,Orange,5B in Bitcoin,8,Rare
179,0179.webp,72,Phineas Montclair,Bitcoin: fair magic!,Coin,1B in Bitcoin,3,Uncommon
180,0180.webp,22,Roderick Montague,Bitcoin: escape slavery!,Rocket,5B in Bitcoin,3,Uncommon
181,0181.webp,71,Clarence Westbrook,Bitcoin: invisible spell!,Rocket,10B in Bitcoin,2,Uncommon
182,0182.webp,109,Clarence Thornfield II,Bitcoin: create your fate!,Sushi,5B in Bitcoin,7,Uncommon
183,0183.webp,9,Felix Harrington,Bitcoin: click to change!,Coin,5B in Bitcoin,5,Super Rare
184,0184.webp,10,Simon Redwood,Bitcoin: freedom now!,Palm,5B in Bitcoin,3,Uncommon
185,0185.webp,77,Cornelius Ravensdale,Bitcoin: global bridge!,Flying Saucer,1B in Bitcoin,4,Common
186,0186.webp,102,Wilfred Beckett,Bitcoin: fair magic!,Sushi,5B in Bitcoin,2,Super Rare
187,0187.webp,73,Rupert Sterling,Bitcoin: creative explosion!,Palm,5B in Bitcoin,3,Super Rare
188,0188.webp,15,Hugo Sterling,Bitcoin lights the way!,Rocket,5B in Bitcoin,7,Common
189,0189.webp,94,Mortimer Montrose,Bitcoin: global show!,Palm,1B in Bitcoin,5,Uncommon
190,0190.webp,3,Milo Farnsworth,Bitcoin: your own bank!,Palm,1B in Bitcoin,10,Uncommon
191,0191.webp,97,Leopold Fairfax,Bitcoin: tech is magic!,Orange,1B in Bitcoin,2,Common
192,0192.webp,38,Thaddeus Whitmore,Bitcoin: no inflation!,Palm,10B in Bitcoin,2,Common
193,0193.webp,68,Alistair Ashford,Bitcoin: beat big spells!,Hibisc,10B in Bitcoin,9,Rare
194,0194.webp,103,Humphrey Pembroke,Bitcoin: creative explosion!,Hibisc,1B in Bitcoin,3,Uncommon
195,0195.webp,105,Bartholomew Ravensdale,Bitcoin: golden adventures!,Flying Saucer,1B in Bitcoin,9,Uncommon
196,0196.webp,94,Mortimer Montrose,Bitcoin: global show!,Palm,1B in Bitcoin,5,Uncommon
197,0197.webp,37,Mortimer Kingsley,Bitcoin: just getting started!,Coin,5B in Bitcoin,10,Common
198,0198.webp,13,Nathan Ellington,Bitcoin: tech hero!,Orange,1B in Bitcoin,6,Super Rare
199,0199.webp,41,Sylvester Fairfax,Bitcoin: spell of freedom!,Orange,1B in Bitcoin,5,Common
200,0200.webp,64,Wilfred Fairchild,Bitcoin: global magic trick!,Rocket,5B in Bitcoin,1,Rare
201,0201.webp,29,Alistair Blackwood,Bitcoin: freedom in every click!,Rocket,2B in Bitcoin,4,Uncommon
202,0202.webp,57,Thaddeus Westbrook,Bitcoin: no tricks!,Rocket,10B in Bitcoin,3,Rare
203,0203.webp,82,Barnabas Ashford,Bitcoin: silent revolution!,Hibisc,50B in Bitcoin,6,Rare
204,0204.webp,108,Maximilian Montrose,Bitcoin: innovation rules!,Palm,1B in Bitcoin,9,Super Rare
205,0205.webp,23,Tobias Sinclair,Bitcoin: magical money!,Coin,10B in Bitcoin,10,Uncommon
206,0206.webp,25,Archibald Winslow,Bitcoin: no old tricks!,Sushi,2B in Bitcoin,6,Common
207,0207.webp,53,Phineas Thornfield,Bitcoin: no censorship!,Sushi,1B in Bitcoin,4,Common
208,0208.webp,11,Victor Ashford,Bitcoin unlocks treasure!,Sushi,1B in Bitcoin,2,Common
209,0209.webp,110,Phineas Ashford,Bitcoin: free from giants!,Hibisc,10B in Bitcoin,2,Rare
210,0210.webp,37,Mortimer Kingsley,Bitcoin: just getting started!,Coin,1B in Bitcoin,7,Super Rare
211,0211.webp,20,Julian Ravenscroft,Bitcoin: art of freedom!,Orange,1B in Bitcoin,1,Common
212,0212.webp,82,Barnabas Ashford,Bitcoin: silent revolution!,Hibisc,10B in Bitcoin,7,Common
213,0213.webp,81,Horatio Thornfield,Bitcoin: exit the matrix!,Sushi,1B in Bitcoin,4,Ultra Rare
214,0214.webp,90,Clarence Kingsley,Bitcoin: fair and fun!,Orange,1B in Bitcoin,5,Common
215,0215.webp,6,Leon Vanguard,Bitcoin: global magic!,Orange,1B in Bitcoin,5,Uncommon
216,0216.webp,102,Wilfred Beckett,Bitcoin: fair magic!,Sushi,5B in Bitcoin,3,Super Rare
217,0217.webp,86,Bartholomew Montclair,Bitcoin: beat the system!,Coin,5B in Bitcoin,4,Uncommon
218,0218.webp,61,Ignatius Pembroke,Bitcoin: flame of change!,Hibisc,10B in Bitcoin,5,Uncommon
219,0219.webp,20,Julian Ravenscroft,Bitcoin: art of freedom!,Orange,5B in Bitcoin,1,Rare
220,0220.webp,100,Horatio Montclair,Bitcoin: master destiny!,Coin,5B in Bitcoin,6,Uncommon
221,0221.webp,101,Barnabas Sterling,Bitcoin: invisible spell!,Palm,5B in Bitcoin,1,Common
222,0222.webp,25,Archibald Winslow,Bitcoin: no old tricks!,Sushi,5B in Bitcoin,9,Uncommon
223,0223.webp,26,Percival Hargrove,Bitcoin: change like magic!,Hibisc,1B in Bitcoin,4,Super Rare
224,0224.webp,59,Leopold Sterling,Bitcoin: invisible magic!,Palm,10B in Bitcoin,5,Rare
225,0225.webp,62,Horatio Kingsley,Bitcoin: spell for freedom!,Orange,1B in Bitcoin,4,Uncommon
226,0226.webp,57,Thaddeus Westbrook,Bitcoin: no tricks!,Rocket,1B in Bitcoin,8,Common
227,0227.webp,27,Reginald Pembroke,Bitcoin: bridges to freedom!,Orange,5B in Bitcoin,6,Common
228,0228.webp,66,Reginald Montrose,Bitcoin: future surprises!,Palm,1B in Bitcoin,6,Common
229,0229.webp,98,Sylvester Langley,Bitcoin: beat big spells!,Flying Saucer,5B in Bitcoin,5,Rare
230,0230.webp,56,Mortimer Langley,Bitcoin: beat the system!,Flying Saucer,10B in Bitcoin,5,Uncommon
231,0231.webp,106,Alistair Fairchild,Bitcoin: beacon of hope!,Rocket,10B in Bitcoin,3,Common
232,0232.webp,69,Gideon Fairfax,Bitcoin: no illusions!,Orange,1B in Bitcoin,2,Ultra Rare
233,0233.webp,37,Mortimer Kingsley,Bitcoin: just getting started!,Coin,1B in Bitcoin,5,Uncommon
234,0234.webp,2,Bruno Driscoll,Bitcoin: magic money!,Coin,5B in Bitcoin,7,Uncommon
235,0235.webp,17,Marcus Fairfax,Bitcoin: magic answer!,Palm,2B in Bitcoin,2,Uncommon
236,0236.webp,107,Gideon Ellsworth,Bitcoin: global bridge!,Coin,5B in Bitcoin,6,Uncommon
237,0237.webp,104,Reginald Kingsley,Bitcoin: escape wizards!,Orange,1B in Bitcoin,5,Rare
238,0238.webp,4,Theo Underwood,Bitcoin breaks all chains!,Sushi,1B in Bitcoin,5,Common
239,0239.webp,47,Reginald Pembroke II,Bitcoin: global bridge!,Hibisc,5B in Bitcoin,4,Super Rare
240,0240.webp,105,Bartholomew Ravensdale,Bitcoin: golden adventures!,Flying Saucer,5B in Bitcoin,1,Rare
241,0241.webp,96,Cornelius Ashford,Bitcoin: future surprises!,Hibisc,100B in Bitcoin,1,Uncommon
242,0242.webp,71,Clarence Westbrook,Bitcoin: invisible spell!,Rocket,2B in Bitcoin,2,Common
243,0243.webp,111,Rupert Fairfax,Bitcoin: exit the matrix!,Orange,10B in Bitcoin,5,Uncommon
244,0244.webp,80,Ignatius Montrose,Bitcoin: free from giants!,Palm,10B in Bitcoin,2,Common
245,0245.webp,49,Alistair Ravensdale,Bitcoin: create your destiny!,Flying Saucer,1B in Bitcoin,5,Super Rare
246,0246.webp,6,Leon Vanguard,Bitcoin: global magic!,Orange,1B in Bitcoin,6,Ultra Rare
247,0247.webp,26,Percival Hargrove,Bitcoin: change like magic!,Hibisc,1B in Bitcoin,3,Common
248,0248.webp,110,Phineas Ashford,Bitcoin: free from giants!,Hibisc,5B in Bitcoin,6,Super Rare
249,0249.webp,13,Nathan Ellington,Bitcoin: tech hero!,Orange,10B in Bitcoin,5,Uncommon
250,0250.webp,100,Horatio Montclair,Bitcoin: master destiny!,Coin,5B in Bitcoin,4,Uncommon
251,0251.webp,48,Bartholomew Kingsley,Bitcoin: innovation force!,Orange,1B in Bitcoin,7,Uncommon
